Green,3095
Blomgren,3094
Issa,3089
Bodin,3078
Hammarström,3070
Said,3063
Ismail,3059
Sandgren,3057
Karlberg,3054
Hallin,3051
Stark,3037
Ekelund,3036
Sandell,3027
Gabrielsson,3021
Henningsson,3020
Blixt,2996
Skoog,2995
Nordberg,2970
Söderqvist,2966
Wang,2961
Lidén,2934
Jeppsson,2919
Melander,2906
Mustafa,2905
Brännström,2900
Östberg,2896
Linde,2890
Frank,2871
Olsen,2865
Granath,2849
Ekdahl,2831
Lundh,2830
Kvist,2829
Johnson,2824
Bohlin,2824
Burman,2820
Lindskog,2820
Sjöstedt,2820
Norling,2815
Wester,2815
Granström,2811
Saleh,2799
Söderholm,2785
Helgesson,2767
Wennberg,2736
Haraldsson,2725
Borgström,2695
Wilhelmsson,2668
Werner,2662
Einarsson,2648
Kristensson,2646
Israelsson,2646
Granlund,2645
Lindfors,2643
Holst,2641
Li,2641
Forsgren,2632
Vesterlund,2626
Ahlqvist,2620
Edman,2613
Smith,2610
Brodin,2603
Bolin,2601
Widén,2599
Sjölander,2597
Edin,2591
Vilhelmsson,2580
Ahlin,2579
Landin,2573
Kristoffersson,2566
Norrman,2562
Forsell,2561
Bylund,2558
Robertsson,2556
Sjölin,2555
Schmidt,2552
Rosenqvist,2541
Carlson,2511
Sörensen,2509
Liljegren,2505
Häggström,2503
Thulin,2502
Lundblad,2500
Stenström,2497
Källström,2489
Norgren,2485
Almgren,2485
Lindquist,2481
Storm,2480
Bergsten,2475
Halvarsson,2454
Pihl,2450
Zhang,2436
Elofsson,2435
Viberg,2435
Westlund,2422
Kling,2417
Rosenberg,2412
Folkesson,2406
Östling,2403
Söderman,2400
Sundell,2399
Lundquist,2387
Landström,2387
Vallin,2386
Rasmussen,2385
Åslund,2384
Palmgren,2383
Löf,2380
Södergren,2367
Wallgren,2346
Bergvall,2344
Wahlgren,2340
Brolin,2336
Abdullah,2327
Edberg,2325
Anderberg,2319
Nordlander,2315
Turesson,2314
Chen,2310
Lidström,2306
Zetterberg,2297
Hosseini,2296
Steen,2295
Ljungqvist,2291
Wallén,2278
Bergstrand,2272
Gren,2268
Farah,2259
Roth,2248
Svantesson,2247
Vestin,2244
Engvall,2233
Grönlund,2232
Johansen,2232
Ferm,2231
Dahlén,2230
Juhlin,2229
Nylén,2228
Norlin,2226
Frid,2221
Lönn,2219
Flink,2212
Carlberg,2211
Olander,2206
Jarl,2198
Åsberg,2191
Jörgensen,2163
Lundholm,2158
Modig,2148
Winberg,2145
Ingvarsson,2142
Hjort,2139
Åkerman,2133
Blomkvist,2130
Brink,2129
Rask,2128
Stenlund,2128
Mohamud,2127
Rehn,2118
Selin,2118
Fagerström,2114
Bohman,2112
Petersen,2109
Gashi,2102
Emilsson,2102
Abbas,2082
Khalil,2080
Gullberg,2078
Thor,2077
Birgersson,2069
Bergdahl,2068
Mahmoud,2055
Jafari,2054
Hallström,2047
Broström,2045
Öman,2044
Åkerström,2044
Åkerblom,2035
Lundahl,2027
Ögren,2017
Liu,2007
Flodin,2003
Thunberg,2002
Yusuf,1997
Rasmusson,1994
Ragnarsson,1992
Peterson,1988
Vestman,1790
